"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"168","com.mindtree.service","src/com/mindtree/service/RentalServiceImpl.java","3","34","The String literal 'Rental Service not Available' appears 8 times in this file; the first occurrence is on line 34","String and StringBuffer Rules","AvoidDuplicateLiterals"
"169","com.mindtree.service","src/com/mindtree/service/RentalServiceImpl.java","3","47","Local variable 'carDao' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"170","com.mindtree.service","src/com/mindtree/service/RentalServiceImpl.java","3","61","Parameter 'car' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"171","com.mindtree.service","src/com/mindtree/service/RentalServiceImpl.java","3","70","Parameter 'rental' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"172","com.mindtree.service","src/com/mindtree/service/RentalServiceImpl.java","3","78","Local variable 'rentalDao' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"173","com.mindtree.service","src/com/mindtree/service/RentalServiceImpl.java","3","91","Local variable 'rentalDao' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"174","com.mindtree.util","src/com/mindtree/util/DateUtil.java","3","9","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"175","com.mindtree.util","src/com/mindtree/util/DateUtil.java","3","11","Parameter 'strDate' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"176","com.mindtree.util","src/com/mindtree/util/DateUtil.java","3","12","Local variable 'sdf' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"177","com.mindtree.util","src/com/mindtree/util/DateUtil.java","3","12","When instantiating a SimpleDateFormat object, specify a Locale","Design Rules","SimpleDateFormatNeedsLocale"
"178","com.mindtree.util","src/com/mindtree/util/DateUtil.java","3","16","New exception is thrown in catch block, original stack trace may be lost","Design Rules","PreserveStackTrace"
"179","com.mindtree.web","src/com/mindtree/web/FrontController.java","3","26","Parameter 'request' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"180","com.mindtree.web","src/com/mindtree/web/FrontController.java","3","26","Parameter 'response' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"181","com.mindtree.web","src/com/mindtree/web/FrontController.java","3","33","Parameter 'request' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"182","com.mindtree.web","src/com/mindtree/web/FrontController.java","3","33","Parameter 'response' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"183","com.mindtree.web","src/com/mindtree/web/FrontController.java","3","37","Parameter 'request' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"184","com.mindtree.web","src/com/mindtree/web/FrontController.java","3","38","Local variable 'uri' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"185","com.mindtree.web","src/com/mindtree/web/FrontController.java","5","39","Found 'DD'-anomaly for variable 'target' (lines '39'-'45').","Controversial Rules","DataflowAnomalyAnalysis"
"186","com.mindtree.web","src/com/mindtree/web/FrontController.java","5","39","Found 'DD'-anomaly for variable 'target' (lines '39'-'57').","Controversial Rules","DataflowAnomalyAnalysis"
"187","com.mindtree.web","src/com/mindtree/web/FrontController.java","5","39","Found 'DD'-anomaly for variable 'target' (lines '39'-'69').","Controversial Rules","DataflowAnomalyAnalysis"
"188","com.mindtree.web","src/com/mindtree/web/FrontController.java","3","39","The String literal 'index.jsp' appears 5 times in this file; the first occurrence is on line 39","String and StringBuffer Rules","AvoidDuplicateLiterals"
"189","com.mindtree.web","src/com/mindtree/web/FrontController.java","5","40","Found 'DU'-anomaly for variable 'rentalService' (lines '40'-'78').","Controversial Rules","DataflowAnomalyAnalysis"
"190","com.mindtree.web","src/com/mindtree/web/FrontController.java","3","40","Local variable 'rentalService' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"191","com.mindtree.web","src/com/mindtree/web/FrontController.java","5","45","Found 'DD'-anomaly for variable 'target' (lines '45'-'49').","Controversial Rules","DataflowAnomalyAnalysis"
"192","com.mindtree.web","src/com/mindtree/web/FrontController.java","3","47","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"193","com.mindtree.web","src/com/mindtree/web/FrontController.java","3","48","The String literal 'msg' appears 4 times in this file; the first occurrence is on line 48","String and StringBuffer Rules","AvoidDuplicateLiterals"
"194","com.mindtree.web","src/com/mindtree/web/FrontController.java","5","57","Found 'DD'-anomaly for variable 'target' (lines '57'-'61').","Controversial Rules","DataflowAnomalyAnalysis"
"195","com.mindtree.web","src/com/mindtree/web/FrontController.java","3","59","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"196","com.mindtree.web","src/com/mindtree/web/FrontController.java","3","64","Local variable 'car' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"197","com.mindtree.web","src/com/mindtree/web/FrontController.java","5","69","Found 'DD'-anomaly for variable 'target' (lines '69'-'73').","Controversial Rules","DataflowAnomalyAnalysis"
"198","com.mindtree.web","src/com/mindtree/web/FrontController.java","3","71","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"199","com.mindtree.web","src/com/mindtree/web/FrontController.java","3","76","Local variable 'dispatcher' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"200","com.mindtree.web","src/com/mindtree/web/FrontController.java","3","81","Local variable 'category' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
